107,243,b
107,243,b
107,243,b
107,243,b
108,246,b
108,245,b
108,246,b
108,246,b
108,245,b
107,246,b
107,245,b
108,245,b
107,240,b
108,225,b
108,234,b
108,244,b
108,245,b
108,246,b
108,245,b
108,244,b
108,243,b
107,246,b
108,246,b
108,245,b
107,241,b
108,208,b
108,246,b
108,246,b
108,246,b
108,246,b
108,246,b
108,246,b
108,246,b
107,234,b
106,239,b
106,242,b
106,235,b
106,220,b
107,208,b
107,215,b
108,244,b
107,246,b
108,244,b
108,245,b
108,245,b
107,244,b
107,244,b
107,244,b
107,245,b
108,244,b
108,244,b
108,245,b
108,245,b
109,248,b
107,243,b
107,245,b
107,246,b
107,246,b
108,244,b
108,245,b
70,236,g
70,238,g
70,238,g
70,238,g
70,238,g
70,236,g
70,235,g
70,236,g
70,238,g
70,238,g
70,203,g
70,228,g
70,237,g
70,225,g
70,180,g
70,210,g
70,223,g
70,233,g
69,238,g
67,239,g
69,238,g
70,238,g
70,237,g
70,238,g
70,234,g
70,223,g
70,229,g
70,236,g
70,229,g
70,209,g
69,237,g
69,238,g
69,238,g
70,237,g
70,237,g
70,236,g
70,237,g
70,239,g
68,238,g
69,238,g
70,239,g
70,236,g
70,236,g
70,236,g
70,239,g
68,238,g
65,237,g
68,238,g
68,238,g
66,239,g
69,237,g
69,237,g
70,237,g
69,237,g
69,237,g
69,237,g
70,211,g
70,239,g
70,237,g
70,234,g
9,114,o
8,114,o
9,110,o
8,123,o
9,117,o
9,117,o
9,117,o
9,117,o
9,117,o
9,117,o
9,117,o
9,104,o
9,112,o
8,115,o
8,114,o
9,108,o
8,114,o
9,106,o
8,116,o
8,107,o
8,114,o
8,111,o
8,111,o
9,97,o
9,106,o
10,105,o
10,112,o
8,119,o
9,114,o
9,109,o
10,105,o
9,112,o
8,109,o
8,119,o
9,109,o
9,106,o
8,107,o
8,99,o
8,114,o
9,111,o
8,114,o
9,114,o
9,114,o
9,115,o
8,115,o
9,114,o
9,115,o
8,115,o
8,115,o
8,114,o
8,121,o
8,117,o
8,119,o
8,114,o
8,120,o
6,142,o
6,153,o
7,143,o
8,135,o
7,141,o
176,165,r
176,168,r
176,174,r
176,173,r
176,173,r
176,173,r
176,174,r
176,174,r
177,175,r
176,163,r
176,163,r
177,192,r
177,188,r
177,192,r
177,189,r
176,184,r
175,174,r
176,176,r
175,174,r
176,179,r
176,171,r
176,174,r
176,160,r
175,161,r
176,171,r
176,171,r
176,162,r
176,176,r
176,175,r
176,172,r
176,172,r
176,171,r
175,161,r
175,159,r
175,161,r
175,143,r
174,141,r
175,159,r
176,172,r
177,182,r
176,164,r
176,174,r
176,163,r
176,160,r
176,160,r
176,160,r
176,166,r
176,163,r
176,158,r
176,163,r
176,158,r
176,156,r
176,154,r
176,154,r
176,168,r
176,172,r
176,171,r
176,171,r
176,171,r
176,171,r
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,44,w
101,28,w
103,33,w
102,37,w
101,28,w
103,34,w
98,31,w
102,37,w
101,37,w
100,40,w
96,29,w
101,36,w
99,40,w
100,41,w
100,41,w
101,36,w
101,36,w
101,36,w
101,35,w
100,41,w
100,41,w
101,36,w
100,37,w
101,37,w
101,35,w
102,37,w
101,37,w
102,37,w
102,37,w
101,36,w
100,42,w
99,40,w
98,40,w
98,41,w
98,41,w
98,41,w
98,41,w
98,40,w
100,40,w
99,40,w
100,40,w
100,40,w
100,40,w
100,40,w
100,40,w
99,40,w
99,39,w
100,40,w
37,141,y
37,137,y
38,135,y
38,120,y
39,126,y
38,136,y
39,133,y
39,126,y
39,132,y
39,130,y
39,132,y
39,122,y
39,122,y
39,126,y
39,125,y
39,128,y
39,133,y
39,126,y
38,126,y
39,136,y
38,120,y
39,125,y
38,153,y
37,155,y
39,162,y
38,162,y
39,170,y
38,168,y
38,170,y
38,174,y
39,168,y
37,158,y
39,157,y
39,160,y
39,160,y
39,158,y
38,141,y
38,131,y
38,136,y
39,133,y
39,136,y
39,135,y
38,132,y
38,135,y
39,128,y
39,126,y
37,119,y
39,125,y
39,120,y
39,122,y
39,124,y
38,140,y
39,133,y
38,120,y
39,130,y
39,132,y
39,133,y
39,135,y
39,130,y
39,131,y
107,219,b
107,219,b
107,227,b
106,220,b
107,236,b
107,234,b
107,234,b
107,235,b
107,235,b
106,235,b
106,232,b
107,234,b
106,226,b
107,213,b
107,199,b
107,216,b
107,239,b
107,237,b
107,235,b
107,234,b
107,219,b
107,218,b
107,234,b
107,233,b
107,218,b
107,194,b
107,232,b
107,233,b
107,233,b
107,232,b
107,233,b
107,237,b
107,232,b
106,216,b
106,222,b
106,226,b
106,220,b
106,215,b
106,208,b
107,213,b
107,230,b
107,234,b
107,234,b
107,234,b
107,234,b
107,220,b
107,220,b
107,219,b
106,231,b
107,237,b
107,239,b
107,239,b
107,239,b
107,234,b
107,218,b
106,216,b
106,216,b
106,216,b
107,220,b
107,233,b
70,207,g
70,210,g
70,204,g
70,204,g
70,204,g
70,202,g
70,196,g
70,201,g
70,204,g
70,204,g
70,189,g
70,209,g
70,212,g
70,213,g
70,193,g
70,189,g
70,186,g
70,176,g
70,225,g
69,239,g
70,220,g
70,213,g
70,207,g
70,202,g
70,195,g
70,196,g
70,195,g
70,208,g
70,213,g
70,195,g
70,217,g
70,215,g
70,210,g
70,204,g
70,217,g
70,216,g
70,207,g
70,204,g
